cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2022,House,9/23/22,WI-4,Gwen Moore,Tim Rogers,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-3,Brad Pfaff,Derrick Van Orden,4,Expert ratings adjusted for national environment,1.773372,0,0,1.548584,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-3,Brad Pfaff,Derrick Van Orden,3,Fundamentals (non-polling factors),-4.933161,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-3,Brad Pfaff,Derrick Van Orden,2,CANTOR (analysis of comparable disticts),-1.82758,.3341596,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-3,Brad Pfaff,Derrick Van Orden,1,Polls adjusted for house effects & other factors,-8.151989,1.66584,1.66584,1.66584,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-2,Mark Pocan,Erik Olsen,4,Expert ratings adjusted for national environment,37.20465,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-2,Mark Pocan,Erik Olsen,3,Fundamentals (non-polling factors),36.74704,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-2,Mark Pocan,Erik Olsen,2,CANTOR (analysis of comparable disticts),38.76748,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-2,Mark Pocan,Erik Olsen,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-1,Ann Roe,Bryan Steil,4,Expert ratings adjusted for national environment,-22.65108,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-1,Ann Roe,Bryan Steil,3,Fundamentals (non-polling factors),-14.84095,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-1,Ann Roe,Bryan Steil,2,CANTOR (analysis of comparable disticts),-12.71086,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-1,Ann Roe,Bryan Steil,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-9,Adam Smith,Doug Basler,4,Expert ratings adjusted for national environment,45.44958,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-9,Adam Smith,Doug Basler,3,Fundamentals (non-polling factors),45.68505,0,1.342794,1.342794,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-9,Adam Smith,Doug Basler,2,CANTOR (analysis of comparable disticts),38.9557,.8358126,.0962403,.0962403,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-9,Adam Smith,Doug Basler,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-8,Kim Schrier,Matt Larkin,4,Expert ratings adjusted for national environment,2.450571,0,0,1.105875,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-8,Kim Schrier,Matt Larkin,3,Fundamentals (non-polling factors),8.011531,0,1.342794,1.342794,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-8,Kim Schrier,Matt Larkin,2,CANTOR (analysis of comparable disticts),5.632909,.8358126,.0962403,.0962403,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-8,Kim Schrier,Matt Larkin,1,Polls adjusted for house effects & other factors,5.000584,.7782197,.7782197,.7782197,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-7,Pramila Jayapal,Cliff Moon,4,Expert ratings adjusted for national environment,71.72373,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-7,Pramila Jayapal,Cliff Moon,3,Fundamentals (non-polling factors),72.37579,0,1.342794,1.342794,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-7,Pramila Jayapal,Cliff Moon,2,CANTOR (analysis of comparable disticts),59.46178,.8358126,.0962403,.0962403,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-7,Pramila Jayapal,Cliff Moon,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-6,Derek Kilmer,Elizabeth Kreiselmaier,4,Expert ratings adjusted for national environment,22.54767,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-6,Derek Kilmer,Elizabeth Kreiselmaier,3,Fundamentals (non-polling factors),18.40547,0,1.342794,1.342794,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-6,Derek Kilmer,Elizabeth Kreiselmaier,2,CANTOR (analysis of comparable disticts),19.00422,.8358126,.0962403,.0962403,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-6,Derek Kilmer,Elizabeth Kreiselmaier,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-5,Natasha Hill,Cathy McMorris Rodgers,4,Expert ratings adjusted for national environment,-22.65095,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-5,Natasha Hill,Cathy McMorris Rodgers,3,Fundamentals (non-polling factors),-20.44368,0,1.342794,1.342794,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-5,Natasha Hill,Cathy McMorris Rodgers,2,CANTOR (analysis of comparable disticts),-19.7297,.8358126,.0962403,.0962403,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-5,Natasha Hill,Cathy McMorris Rodgers,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-4,Doug White,Dan Newhouse,4,Expert ratings adjusted for national environment,-36.43321,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-4,Doug White,Dan Newhouse,3,Fundamentals (non-polling factors),-37.39134,0,1.342794,1.342794,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-4,Doug White,Dan Newhouse,2,CANTOR (analysis of comparable disticts),-25.75269,.8358126,.0962403,.0962403,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-4,Doug White,Dan Newhouse,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-3,Marie Gluesenkamp Perez,Joe Kent,4,Expert ratings adjusted for national environment,-18.30438,0,0,1.498548,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-3,Marie Gluesenkamp Perez,Joe Kent,3,Fundamentals (non-polling factors),-15.56672,0,1.342794,1.342794,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-3,Marie Gluesenkamp Perez,Joe Kent,2,CANTOR (analysis of comparable disticts),-4.65526,.4344815,.0962403,.0962403,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-3,Marie Gluesenkamp Perez,Joe Kent,1,Polls adjusted for house effects & other factors,-5.920158,1.565518,1.565518,1.565518,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-2,Rick Larsen,Dan Matthews,4,Expert ratings adjusted for national environment,28.38703,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-2,Rick Larsen,Dan Matthews,3,Fundamentals (non-polling factors),28.1782,0,1.342794,1.342794,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-2,Rick Larsen,Dan Matthews,2,CANTOR (analysis of comparable disticts),22.82597,.8358126,.0962403,.0962403,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-2,Rick Larsen,Dan Matthews,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-1,Suzan DelBene,Vincent J. Cavaleri,4,Expert ratings adjusted for national environment,26.29059,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-1,Suzan DelBene,Vincent J. Cavaleri,3,Fundamentals (non-polling factors),25.21275,0,1.342794,1.342794,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-1,Suzan DelBene,Vincent J. Cavaleri,2,CANTOR (analysis of comparable disticts),27.96741,.8358126,.0962403,.0962403,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-1,Suzan DelBene,Vincent J. Cavaleri,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-10,Marilyn Strickland,Keith R. Swank,4,Expert ratings adjusted for national environment,24.13683,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-10,Marilyn Strickland,Keith R. Swank,3,Fundamentals (non-polling factors),22.80306,0,1.342794,1.342794,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-10,Marilyn Strickland,Keith R. Swank,2,CANTOR (analysis of comparable disticts),17.49566,.8358126,.0962403,.0962403,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WA-10,Marilyn Strickland,Keith R. Swank,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VT-1,Becca Balint,Liam Madden,4,Expert ratings adjusted for national environment,25.89811,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VT-1,Becca Balint,Liam Madden,3,Fundamentals (non-polling factors),24.80556,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VT-1,Becca Balint,Liam Madden,2,CANTOR (analysis of comparable disticts),25.77898,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VT-1,Becca Balint,Liam Madden,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-9,Taysha DeVaughan,H. Morgan Griffith,4,Expert ratings adjusted for national environment,-49.06212,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-9,Taysha DeVaughan,H. Morgan Griffith,3,Fundamentals (non-polling factors),-50.53099,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-9,Taysha DeVaughan,H. Morgan Griffith,2,CANTOR (analysis of comparable disticts),-38.81929,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-9,Taysha DeVaughan,H. Morgan Griffith,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-8,Donald S. Beyer Jr.,Karina Lipsman,4,Expert ratings adjusted for national environment,49.36327,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-8,Donald S. Beyer Jr.,Karina Lipsman,3,Fundamentals (non-polling factors),49.40705,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-8,Donald S. Beyer Jr.,Karina Lipsman,2,CANTOR (analysis of comparable disticts),47.02045,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-8,Donald S. Beyer Jr.,Karina Lipsman,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-7,Abigail A. Spanberger,Yesli I. Vega,4,Expert ratings adjusted for national environment,11.70728,0,0,1.094757,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-7,Abigail A. Spanberger,Yesli I. Vega,3,Fundamentals (non-polling factors),3.950727,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-7,Abigail A. Spanberger,Yesli I. Vega,2,CANTOR (analysis of comparable disticts),5.914494,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-7,Abigail A. Spanberger,Yesli I. Vega,1,Polls adjusted for house effects & other factors,6.043697,.7559277,.7559277,.7559277,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-6,Jennifer Lewis,Ben L. Cline,4,Expert ratings adjusted for national environment,-32.92774,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-6,Jennifer Lewis,Ben L. Cline,3,Fundamentals (non-polling factors),-33.70784,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-6,Jennifer Lewis,Ben L. Cline,2,CANTOR (analysis of comparable disticts),-27.6263,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-6,Jennifer Lewis,Ben L. Cline,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-5,Joshua M. Throneburg,Bob Good,4,Expert ratings adjusted for national environment,-22.07585,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-5,Joshua M. Throneburg,Bob Good,3,Fundamentals (non-polling factors),-17.20964,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-5,Joshua M. Throneburg,Bob Good,2,CANTOR (analysis of comparable disticts),-17.36154,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-5,Joshua M. Throneburg,Bob Good,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-4,A. Donald McEachin,Leon Benjamin Sr.,4,Expert ratings adjusted for national environment,28.83071,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-4,A. Donald McEachin,Leon Benjamin Sr.,3,Fundamentals (non-polling factors),27.57971,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-4,A. Donald McEachin,Leon Benjamin Sr.,2,CANTOR (analysis of comparable disticts),34.35854,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-4,A. Donald McEachin,Leon Benjamin Sr.,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-3,Robert C. “Bobby” Scott,Terry T. Namkung,4,Expert ratings adjusted for national environment,33.14018,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-3,Robert C. “Bobby” Scott,Terry T. Namkung,3,Fundamentals (non-polling factors),32.54458,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-3,Robert C. “Bobby” Scott,Terry T. Namkung,2,CANTOR (analysis of comparable disticts),35.28037,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-3,Robert C. “Bobby” Scott,Terry T. Namkung,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-2,Elaine G. Luria,Jen A. Kiggans,4,Expert ratings adjusted for national environment,6.251275,0,0,.9971894,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-2,Elaine G. Luria,Jen A. Kiggans,3,Fundamentals (non-polling factors),-5.958146,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-2,Elaine G. Luria,Jen A. Kiggans,2,CANTOR (analysis of comparable disticts),2.688097,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-2,Elaine G. Luria,Jen A. Kiggans,1,Polls adjusted for house effects & other factors,5.047119,.5603067,.5603067,.5603067,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-1,Herbert C. “Herb” Jones Jr.,Rob J. Wittman,4,Expert ratings adjusted for national environment,-22.80449,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-1,Herbert C. “Herb” Jones Jr.,Rob J. Wittman,3,Fundamentals (non-polling factors),-21.03529,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-1,Herbert C. “Herb” Jones Jr.,Rob J. Wittman,2,CANTOR (analysis of comparable disticts),-18.45664,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-1,Herbert C. “Herb” Jones Jr.,Rob J. Wittman,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-11,Gerald E. “Gerry” Connolly,Jim Myles,4,Expert ratings adjusted for national environment,37.55058,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-11,Gerald E. “Gerry” Connolly,Jim Myles,3,Fundamentals (non-polling factors),37.49033,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-11,Gerald E. “Gerry” Connolly,Jim Myles,2,CANTOR (analysis of comparable disticts),35.83666,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-11,Gerald E. “Gerry” Connolly,Jim Myles,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-10,Jennifer T. Wexton,Hung Cao,4,Expert ratings adjusted for national environment,19.68393,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-10,Jennifer T. Wexton,Hung Cao,3,Fundamentals (non-polling factors),13.62473,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-10,Jennifer T. Wexton,Hung Cao,2,CANTOR (analysis of comparable disticts),15.32921,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,VA-10,Jennifer T. Wexton,Hung Cao,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-4,Darlene McDonald,Burgess Owens,4,Expert ratings adjusted for national environment,-25.72808,0,0,1.117594,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-4,Darlene McDonald,Burgess Owens,3,Fundamentals (non-polling factors),-25.15466,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-4,Darlene McDonald,Burgess Owens,2,CANTOR (analysis of comparable disticts),-18.86016,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-4,Darlene McDonald,Burgess Owens,1,Polls adjusted for house effects & other factors,-26.56751,.8017146,.8017146,.8017146,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-3,Glenn J. Wright,John Curtis,4,Expert ratings adjusted for national environment,-28.0295,0,0,1.117594,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-3,Glenn J. Wright,John Curtis,3,Fundamentals (non-polling factors),-31.39822,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-3,Glenn J. Wright,John Curtis,2,CANTOR (analysis of comparable disticts),-17.02762,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-3,Glenn J. Wright,John Curtis,1,Polls adjusted for house effects & other factors,-24.3722,.8017146,.8017146,.8017146,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-2,Nick Mitchell,Chris Stewart,4,Expert ratings adjusted for national environment,-24.45709,0,0,1.118412,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-2,Nick Mitchell,Chris Stewart,3,Fundamentals (non-polling factors),-27.26291,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-2,Nick Mitchell,Chris Stewart,2,CANTOR (analysis of comparable disticts),-16.17892,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-2,Nick Mitchell,Chris Stewart,1,Polls adjusted for house effects & other factors,-19.06318,.8033559,.8033559,.8033559,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-1,Rick Edwin Jones,Blake D. Moore,4,Expert ratings adjusted for national environment,-32.53557,0,0,1.118004,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-1,Rick Edwin Jones,Blake D. Moore,3,Fundamentals (non-polling factors),-36.77681,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-1,Rick Edwin Jones,Blake D. Moore,2,CANTOR (analysis of comparable disticts),-16.0766,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,UT-1,Rick Edwin Jones,Blake D. Moore,1,Polls adjusted for house effects & other factors,-29.24456,.8025377,.8025377,.8025377,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,TX-9,Al Green,Jimmy I. Leon,4,Expert ratings adjusted for national environment,50.5913,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,TX-9,Al Green,Jimmy I. Leon,3,Fundamentals (non-polling factors),50.76517,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,TX-9,Al Green,Jimmy I. Leon,2,CANTOR (analysis of comparable disticts),47.17041,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,TX-9,Al Green,Jimmy I. Leon,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,TX-8,Laura Jones,Morgan Luttrell,4,Expert ratings adjusted for national environment,-26.65526,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,TX-8,Laura Jones,Morgan Luttrell,3,Fundamentals (non-polling factors),-27.12262,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,TX-8,Laura Jones,Morgan Luttrell,2,CANTOR (analysis of comparable disticts),-19.80673,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,TX-8,Laura Jones,Morgan Luttrell,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,TX-7,Lizzie Fletcher,Johnny Teague,4,Expert ratings adjusted for national environment,23.57248,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,TX-7,Lizzie Fletcher,Johnny Teague,3,Fundamentals (non-polling factors),20.58971,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,TX-7,Lizzie Fletcher,Johnny Teague,2,CANTOR (analysis of comparable disticts),28.75509,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,TX-7,Lizzie Fletcher,Johnny Teague,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,TX-6,(unopposed),Jake Ellzey,4,Expert ratings adjusted for national environment,17.90734,0,0,0,40000,15:23:21 23 Sep 2022
